region,soil_type,crop_type,season,temperature_c,humidity_pct,rainfall_mm,wind_speed_kmh,evapotranspiration,soil_moisture_pct,should_irrigate,region_enc,soil_enc,crop_enc,season_enc
Punjab,Loamy,Sugarcane,Kharif,28.5,61.0,0.8,11.9,4.17,46.3,1,13,3,2,0
Punjab,Loamy,Vegetables,Kharif,27.7,85.8,14.2,15.7,3.5,74.2,0,13,3,3,0
Punjab,Loamy,Rice,Kharif,27.0,74.5,10.1,16.1,2.16,68.0,1,13,3,1,0
Punjab,Silt,Sugarcane,Kharif,25.3,100.0,59.4,14.7,0.98,95.0,0,13,6,2,0
Punjab,Loamy,Sugarcane,Kharif,24.4,100.0,65.6,17.6,1.39,95.0,0,13,3,2,0
Punjab,Loamy,Rice,Kharif,24.3,100.0,65.8,16.1,1.89,95.0,0,13,3,1,0
Punjab,Silt,Vegetables,Kharif,25.9,100.0,31.5,28.7,3.05,95.0,0,13,6,3,0
Punjab,Loamy,Rice,Kharif,25.8,70.5,3.8,17.7,2.96,54.2,1,13,3,1,0
Punjab,Silt,Vegetables,Kharif,27.4,57.2,0.0,8.3,3.6,48.1,0,13,6,3,0
Punjab,Loamy,Rice,Kharif,27.9,52.7,0.5,10.9,3.47,46.8,1,13,3,1,0
Punjab,Alluvial,Sugarcane,Kharif,27.7,62.2,7.3,10.9,3.73,61.0,1,13,0,2,0
Punjab,Silt,Vegetables,Kharif,26.8,75.7,10.9,16.4,2.4,71.7,0,13,6,3,0
Punjab,Loamy,Rice,Kharif,28.0,70.9,0.3,9.8,4.11,45.4,1,13,3,1,0
Punjab,Loamy,Rice,Kharif,28.2,66.9,0.5,15.0,4.26,45.6,1,13,3,1,0
Punjab,Loamy,Sugarcane,Kharif,27.7,59.3,0.0,10.7,4.3,44.5,1,13,3,2,0
Punjab,Alluvial,Vegetables,Kharif,27.9,74.3,0.7,9.4,3.98,47.4,0,13,0,3,0
Punjab,Silt,Sugarcane,Kharif,28.5,58.5,0.6,6.9,4.13,48.5,1,13,6,2,0
Punjab,Alluvial,Wheat,Kharif,28.8,68.8,0.0,8.5,4.21,45.7,0,13,0,4,0
Punjab,Silt,Rice,Kharif,28.7,50.5,0.1,10.5,4.2,47.4,1,13,6,1,0
Punjab,Silt,Wheat,Kharif,28.4,55.0,0.2,14.1,4.22,47.6,0,13,6,4,0
Punjab,Alluvial,Sugarcane,Kharif,28.9,44.4,0.0,9.4,4.28,45.6,1,13,0,2,0
Punjab,Alluvial,Wheat,Kharif,28.8,73.6,0.3,16.9,4.21,46.3,0,13,0,4,0
Punjab,Alluvial,Rice,Kharif,28.3,67.3,0.4,8.9,4.17,46.5,1,13,0,1,0
Punjab,Silt,Wheat,Kharif,28.3,62.0,0.0,9.8,4.34,47.0,0,13,6,4,0
Punjab,Alluvial,Wheat,Kharif,28.4,35.2,0.0,11.2,4.22,45.7,0,13,0,4,0
Punjab,Alluvial,Rice,Kharif,28.8,62.6,0.0,10.2,4.26,45.6,1,13,0,1,0
Punjab,Loamy,Wheat,Kharif,28.8,64.5,0.0,13.0,4.54,44.2,0,13,3,4,0
Punjab,Loamy,Rice,Kharif,28.2,63.4,0.0,10.6,4.32,44.5,1,13,3,1,0
Punjab,Loamy,Rice,Kharif,28.3,62.9,0.0,9.8,4.31,44.5,1,13,3,1,0
Punjab,Loamy,Wheat,Kharif,28.5,54.2,0.0,12.9,4.42,44.4,0,13,3,4,0
Punjab,Loamy,Vegetables,Kharif,28.8,38.1,0.0,7.5,4.34,44.5,0,13,3,3,0
Punjab,Loamy,Vegetables,Kharif,29.3,90.7,0.0,9.0,4.03,45.0,0,13,3,3,0
Punjab,Loamy,Wheat,Kharif,28.9,32.3,0.1,11.4,3.63,45.8,0,13,3,4,0
Punjab,Alluvial,Rice,Kharif,29.2,65.4,0.0,9.5,4.09,45.9,1,13,0,1,0
Punjab,Loamy,Sugarcane,Kharif,27.8,67.1,0.2,13.6,3.9,45.5,1,13,3,2,0
Punjab,Silt,Vegetables,Kharif,28.4,42.3,0.0,10.7,3.85,47.7,0,13,6,3,0
Punjab,Loamy,Wheat,Kharif,26.9,84.1,12.2,27.4,3.74,69.8,0,13,3,4,0
Punjab,Loamy,Sugarcane,Kharif,26.9,73.9,1.8,20.4,3.89,48.8,1,13,3,2,0
Punjab,Silt,Wheat,Kharif,24.8,80.4,14.3,18.8,3.45,76.9,0,13,6,4,0
Punjab,Alluvial,Rice,Kharif,21.0,94.5,17.7,15.9,1.34,85.4,0,13,0,1,0
Punjab,Alluvial,Wheat,Kharif,20.0,63.9,7.2,19.3,2.02,63.4,0,13,0,4,0
Punjab,Alluvial,Vegetables,Kharif,21.4,79.8,0.0,14.7,3.36,47.0,0,13,0,3,0
Punjab,Silt,Rice,Kharif,22.8,58.5,0.0,8.2,3.45,48.3,1,13,6,1,0
Punjab,Alluvial,Wheat,Kharif,23.3,60.3,0.0,8.0,3.47,46.8,0,13,0,4,0
Punjab,Alluvial,Wheat,Kharif,23.7,54.8,0.0,15.0,3.8,46.3,0,13,0,4,0
Punjab,Silt,Rice,Kharif,23.8,59.1,0.0,11.2,3.71,47.9,1,13,6,1,0
Punjab,Silt,Vegetables,Kharif,23.9,97.2,0.0,8.2,3.58,48.1,0,13,6,3,0
Punjab,Alluvial,Sugarcane,Kharif,24.6,88.0,0.0,7.6,3.46,46.8,1,13,0,2,0
Punjab,Alluvial,Vegetables,Kharif,25.0,35.9,0.0,10.9,3.69,46.5,0,13,0,3,0
Punjab,Alluvial,Rice,Kharif,24.8,79.4,0.0,9.1,3.64,46.5,1,13,0,1,0
Punjab,Loamy,Sugarcane,Kharif,24.6,87.0,0.0,8.4,3.61,45.6,1,13,3,2,0
Punjab,Silt,Rice,Kharif,24.2,28.4,0.0,9.1,3.57,48.1,1,13,6,1,0
Punjab,Loamy,Sugarcane,Kharif,24.5,72.7,0.0,8.4,3.49,45.8,1,13,3,2,0
Punjab,Loamy,Sugarcane,Kharif,24.6,78.0,0.0,8.4,3.5,45.8,1,13,3,2,0
Punjab,Alluvial,Rice,Kharif,24.7,75.0,0.0,10.9,3.56,46.7,1,13,0,1,0
Punjab,Alluvial,Sugarcane,Kharif,24.2,55.2,0.0,14.2,4.13,45.8,1,13,0,2,0
Punjab,Alluvial,Vegetables,Kharif,24.0,29.7,0.0,10.6,3.55,46.7,0,13,0,3,0
Punjab,Silt,Sugarcane,Kharif,24.2,56.0,0.0,9.2,3.28,48.6,1,13,6,2,0
Punjab,Alluvial,Rice,Kharif,23.9,61.9,0.0,11.2,3.41,46.9,1,13,0,1,0
Punjab,Silt,Rice,Kharif,23.2,38.7,0.0,10.4,3.22,48.7,1,13,6,1,0
Punjab,Silt,Vegetables,Kharif,23.1,78.7,0.0,8.6,3.24,48.6,0,13,6,3,0
Punjab,Silt,Wheat,Kharif,23.2,66.8,0.0,9.5,2.8,49.3,0,13,6,4,0
Punjab,Silt,Vegetables,Kharif,22.6,50.9,0.0,12.9,3.13,48.8,0,13,6,3,0
Punjab,Silt,Vegetables,Kharif,23.6,70.6,0.0,8.7,3.0,49.0,0,13,6,3,0
Punjab,Loamy,Sugarcane,Kharif,23.7,70.9,0.0,12.2,3.26,46.1,1,13,3,2,0
Punjab,Silt,Vegetables,Rabi,22.9,60.9,0.0,13.7,3.33,48.5,0,13,6,3,1
Punjab,Alluvial,Vegetables,Rabi,22.3,21.8,0.0,14.4,3.21,47.2,0,13,0,3,1
Punjab,Silt,Vegetables,Rabi,22.0,74.6,0.0,7.7,2.86,49.2,0,13,6,3,1
Punjab,Loamy,Sugarcane,Rabi,22.4,69.3,0.0,26.7,3.85,45.2,1,13,3,2,1
Punjab,Silt,Vegetables,Rabi,20.7,30.2,0.0,21.2,3.72,47.9,0,13,6,3,1
Punjab,Loamy,Vegetables,Rabi,18.4,33.4,0.0,13.4,3.1,46.4,0,13,3,3,1
Punjab,Alluvial,Vegetables,Rabi,17.9,63.5,0.0,9.6,3.01,47.5,0,13,0,3,1
Punjab,Silt,Wheat,Rabi,17.8,58.8,0.0,11.3,2.98,49.0,0,13,6,4,1
Punjab,Loamy,Rice,Rabi,17.5,44.7,0.0,10.1,2.83,46.8,1,13,3,1,1
Punjab,Silt,Vegetables,Rabi,17.5,35.2,0.0,9.1,2.75,49.4,0,13,6,3,1
Punjab,Silt,Wheat,Rabi,17.5,77.5,0.0,11.8,2.85,49.2,0,13,6,4,1
Punjab,Alluvial,Rice,Rabi,17.1,76.7,0.0,9.6,2.69,48.0,1,13,0,1,1
Punjab,Alluvial,Wheat,Rabi,16.8,79.2,0.0,11.8,2.68,48.0,0,13,0,4,1
Punjab,Silt,Wheat,Rabi,16.5,60.4,0.0,9.1,2.52,49.7,0,13,6,4,1
Punjab,Loamy,Wheat,Rabi,16.7,67.2,0.0,9.5,2.49,47.3,0,13,3,4,1
Punjab,Alluvial,Rice,Rabi,16.5,51.3,0.0,8.8,2.36,48.5,1,13,0,1,1
Punjab,Silt,Vegetables,Rabi,16.4,61.6,0.0,5.6,2.18,50.2,0,13,6,3,1
Punjab,Loamy,Vegetables,Rabi,16.4,79.8,0.0,8.5,2.34,47.5,0,13,3,3,1
Punjab,Loamy,Sugarcane,Rabi,16.5,61.1,0.0,6.0,2.1,47.9,1,13,3,2,1
Punjab,Silt,Sugarcane,Rabi,16.8,77.2,0.0,5.1,2.1,50.4,1,13,6,2,1
Punjab,Silt,Wheat,Rabi,16.9,49.6,0.0,7.7,2.1,50.4,0,13,6,4,1
Punjab,Loamy,Rice,Rabi,16.2,45.4,0.0,6.3,2.1,47.9,1,13,3,1,1
Punjab,Alluvial,Sugarcane,Rabi,15.6,66.2,0.0,7.5,2.1,48.8,1,13,0,2,1
Punjab,Loamy,Rice,Rabi,14.8,60.6,0.0,8.1,2.16,47.8,1,13,3,1,1
Punjab,Loamy,Wheat,Rabi,14.2,48.4,0.0,10.2,2.07,47.9,0,13,3,4,1
Punjab,Loamy,Rice,Rabi,14.1,66.6,0.0,7.0,1.97,48.0,1,13,3,1,1
Punjab,Loamy,Vegetables,Rabi,13.8,70.5,0.0,7.0,1.94,48.1,0,13,3,3,1
Punjab,Loamy,Vegetables,Rabi,13.7,69.5,0.0,8.2,2.0,48.0,0,13,3,3,1
Punjab,Silt,Vegetables,Rabi,13.0,57.3,0.0,9.4,2.08,50.4,0,13,6,3,1
Punjab,Alluvial,Sugarcane,Rabi,12.3,83.3,0.0,10.1,1.95,49.1,1,13,0,2,1
Punjab,Silt,Wheat,Rabi,12.8,54.6,0.0,3.8,1.79,50.8,0,13,6,4,1
Punjab,Loamy,Vegetables,Rabi,12.3,58.5,0.0,7.4,1.95,48.1,0,13,3,3,1
Punjab,Silt,Rice,Rabi,12.2,74.5,0.0,11.3,1.94,50.6,1,13,6,1,1
Punjab,Alluvial,Vegetables,Rabi,11.9,58.5,0.0,8.8,1.86,49.2,0,13,0,3,1
Punjab,Alluvial,Sugarcane,Rabi,12.1,56.2,0.0,9.2,1.89,49.2,1,13,0,2,1
Punjab,Silt,Vegetables,Rabi,12.3,33.5,0.0,11.8,1.8,50.8,0,13,6,3,1
Punjab,Loamy,Vegetables,Rabi,13.0,51.1,0.0,8.6,1.86,48.2,0,13,3,3,1
Punjab,Alluvial,Sugarcane,Rabi,13.4,34.8,0.0,12.4,2.01,49.0,1,13,0,2,1
Punjab,Alluvial,Wheat,Rabi,12.9,61.2,0.0,10.1,1.88,49.2,0,13,0,4,1
